"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\rohit\Downloads\quality\chart_generators\__init__.py", "Python", 12, 4, 2, 18
"c:\Users\rohit\Downloads\quality\chart_generators\capability_generator.py", "Python", 313, 39, 66, 418
"c:\Users\rohit\Downloads\quality\chart_generators\control_chart_generator.py", "Python", 221, 30, 44, 295
"c:\Users\rohit\Downloads\quality\chart_generators\fishbone_generator.py", "Python", 143, 27, 32, 202
"c:\Users\rohit\Downloads\quality\chart_generators\histogram_generator.py", "Python", 160, 24, 37, 221
"c:\Users\rohit\Downloads\quality\chart_generators\pareto_generator.py", "Python", 117, 20, 29, 166
"c:\Users\rohit\Downloads\quality\ui_components\__init__.py", "Python", -10, -4, -2, -16
"c:\Users\rohit\Downloads\quality\ui_components\data_input_forms.py", "Python", -233, -33, -69, -335
"c:\Users\rohit\Downloads\quality\ui_components\export_functions.py", "Python", -49, -104, -37, -190
"c:\Users\rohit\Downloads\quality\ui_components\tool_customization.py", "Python", -267, -14, -51, -332
"c:\Users\rohit\Downloads\quality\ui_components\tool_display.py", "Python", -175, -20, -43, -238
"Total", "-", 232, -31, 8, 209
